Year,Fossil brown coal / lignite,Fossil hard coal,Fossil gas,Fossil oil,Waste (fossil),Others
,Carbon dioxide emissions (Mio. t),Carbon dioxide emissions (Mio. t),Carbon dioxide emissions (Mio. t),Carbon dioxide emissions (Mio. t),Carbon dioxide emissions (Mio. t),Carbon dioxide emissions (Mio. t)
1990,200,118,18,9,4,17
1991,187,126,18,11,4,17
1992,180,120,15,10,4,16
1993,171,123,15,8,3,14
1994,168,122,18,8,4,16
1995,162,124,19,7,6,17
1996,159,128,21,7,6,16
1997,155,120,21,6,6,17
1998,149,127,22,6,7,18
1999,148,119,22,6,6,17
2000,157,118,22,6,6,17
2001,166,115,22,7,7,18
2002,170,113,23,7,6,20
2003,167,115,24,8,8,18
2004,165,111,25,8,7,17
2005,162,109,28,9,8,18
2006,159,116,29,8,9,19
2007,164,118,29,7,10,23
2008,158,102,33,7,8,19
2009,153,89,30,7,8,13
2010,151,95,32,6,8,20
2011,156,91,30,5,9,18
2012,166,94,27,5,9,18
2013,163,104,24,5,9,20
2014,159,97,22,5,10,19
2015,157,92,22,4,9,20
2016,153,88,28,4,10,20
2017,151,70,30,4,9,20
2018,147,62,29,4,9,19
2019,115,44,32,4,9,18
2020,93,33,34,3,9,14
2021,111,41,32,3,8,18
2022,115,50,29,4,8,15
2023,86,32,28,3,8,14
2024,78,22,29,3,8,12